name,description,content_id,organisation_content_ids
"Arts and culture","The governments policy on arts and culture",615cc6d1-7631-11e4-b025-005056011afd,fd62c5a4-714d-47fe-a612-595d1739251c|ebd15ade-73b2-4eaf-b1c3-43034a42eb37
"Automatic enrolment in workplace pensions","The governments policy on automatic enrolment in workplace pensions",61902000-7631-11e4-b025-005056011afd,b548a09f-8b35-4104-89f4-f1a40bf3136d,HERE
"Aviation and airports","The governments policy on aviation and airports",60b07ae6-7631-11e4-b025-005056011afd,4c717efc-f47b-478e-a76d-ce1ae0af1946|1400bcfb-c0f2-4e1c-b8fb-1135a2b83088|5f8931ae-479b-473c-b6b8-967fed23d10a
"Bank regulation","The governments policy on bank regulation",620be188-7631-11e4-b025-005056011afd,569a9ee5-c195-4b7f-b9dc-edc17a09113f|1994e0e4-bd19-4966-bbd7-f293d6e90a6b
"Biodiversity and ecosystems","The governments policy on biodiversity and ecosystems",616c8fb0-7631-11e4-b025-005056011afd,de4e9dc6-cca4-43af-a594-682023b84d6c|d3ce4ba7-bc75-46b4-89d9-38cb3240376d
"Bovine tuberculosis (bovine TB)","The governments policy on bovine tuberculosis (bovine tb)",616c8a0f-7631-11e4-b025-005056011afd,de4e9dc6-cca4-43af-a594-682023b84d6c
"British nationals overseas","The governments policy on british nationals overseas",60b04d51-7631-11e4-b025-005056011afd,9adfc4ed-9f6c-4976-a6d8-18d34356367c|d994e55c-48c9-4795-b872-58d8ec98af12
"Broadband investment","The governments policy on broadband investment",615ccdf4-7631-11e4-b025-005056011afd,fd62c5a4-714d-47fe-a612-595d1739251c
"Building regulation","The governments policy on building regulation",60b08832-7631-11e4-b025-005056011afd,2e7868a8-38f5-4ff6-b62f-9a15d1c22d28|0eb3df59-aad1-4cb2-89f5-1de8032d0095
"Business and the environment","The governments policy on business and the environment",616c8803-7631-11e4-b025-005056011afd,de4e9dc6-cca4-43af-a594-682023b84d6c|d65d4203-01f5-4920-a3b1-f614bfd8e83e|16628142-57b2-4611-bc03-5912785acee3
"Business enterprise","The governments policy on business enterprise",60ccc63c-7631-11e4-b025-005056011afd,569a9ee5-c195-4b7f-b9dc-edc17a09113f|1994e0e4-bd19-4966-bbd7-f293d6e90a6b
"Business regulation","The governments policy on business regulation",60b050ed-7631-11e4-b025-005056011afd,569a9ee5-c195-4b7f-b9dc-edc17a09113f
"Business tax reform","The governments policy on business tax reform",620beb52-7631-11e4-b025-005056011afd,1994e0e4-bd19-4966-bbd7-f293d6e90a6b
"Cancer research and treatment","The governments policy on cancer research and treatment",616049d2-7631-11e4-b025-005056011afd,7cd6bf12-bbe9-4118-8523-f927b0442156
"Carer's health","The governments policy on carer's health",6160315d-7631-11e4-b025-005056011afd,7cd6bf12-bbe9-4118-8523-f927b0442156
"Central government efficiency","The governments policy on central government efficiency",614c8adc-7631-11e4-b025-005056011afd,96ae61d6-c2a1-48cb-8e67-da9d105ae381|ec61fac5-95e9-46bb-8429-7129aab6d96d|af07d5a5-df63-4ddc-9383-6a666845ebe9
"Child maintenance reform","The governments policy on child maintenance reform",6157e4ca-7631-11e4-b025-005056011afd,b548a09f-8b35-4104-89f4-f1a40bf3136d
"Childcare and early education","The governments policy on childcare and early education",61731672-7631-11e4-b025-005056011afd,ebd15ade-73b2-4eaf-b1c3-43034a42eb37|1994e0e4-bd19-4966-bbd7-f293d6e90a6b
"Children outside mainstream education","The governments policy on children outside mainstream education",61d703f9-7631-11e4-b025-005056011afd,ebd15ade-73b2-4eaf-b1c3-43034a42eb37
"Children's health","The governments policy on children's health",616d9af3-7631-11e4-b025-005056011afd,ebd15ade-73b2-4eaf-b1c3-43034a42eb37|7cd6bf12-bbe9-4118-8523-f927b0442156
"Children's social workers","The governments policy on children's social workers",6174f891-7631-11e4-b025-005056011afd,ebd15ade-73b2-4eaf-b1c3-43034a42eb37
"Choice in health and social care","The governments policy on choice in health and social care",617224a3-7631-11e4-b025-005056011afd,7cd6bf12-bbe9-4118-8523-f927b0442156
"City Deal","The governments policy on city deal",614c8bc5-7631-11e4-b025-005056011afd,96ae61d6-c2a1-48cb-8e67-da9d105ae381|5a1467ef-2946-4d06-831d-8153d25d6ff4
"Civil justice reform","The governments policy on civil justice reform",3f1dc53a-732b-41ff-83ae-8d93fffb1a7c,dcc907d6-433c-42df-9ffb-d9c68be5dc4d
"Civil service reform","The governments policy on civil service reform",614c8c5d-7631-11e4-b025-005056011afd,96ae61d6-c2a1-48cb-8e67-da9d105ae381
"Climate change adaptation","The governments policy on climate change adaptation",616c862f-7631-11e4-b025-005056011afd,de4e9dc6-cca4-43af-a594-682023b84d6c|16628142-57b2-4611-bc03-5912785acee3|d3ce4ba7-bc75-46b4-89d9-38cb3240376d
"Climate change impact in developing countries","The governments policy on climate change impact in developing countries",614c97c0-7631-11e4-b025-005056011afd,db994552-7644-404d-a770-a2fe659c661f|d65d4203-01f5-4920-a3b1-f614bfd8e83e|9adfc4ed-9f6c-4976-a6d8-18d34356367c
"Climate change international action","The governments policy on climate change international action",60d5c419-7631-11e4-b025-005056011afd,de4e9dc6-cca4-43af-a594-682023b84d6c|db994552-7644-404d-a770-a2fe659c661f|d65d4203-01f5-4920-a3b1-f614bfd8e83e|9adfc4ed-9f6c-4976-a6d8-18d34356367c
"Common Agricultural Policy reform","The governments policy on common agricultural policy reform",616c86da-7631-11e4-b025-005056011afd,de4e9dc6-cca4-43af-a594-682023b84d6c|e8fae147-6232-4163-a3f1-1c15b755a8a4|8bf5624b-dec2-44fa-9b6c-daed166333a5|d3ce4ba7-bc75-46b4-89d9-38cb3240376d
"Communications and telecomms","The governments policy on communications and telecomms",615cce3d-7631-11e4-b025-005056011afd,fd62c5a4-714d-47fe-a612-595d1739251c
"Community integration","The governments policy on community integration",60b089a9-7631-11e4-b025-005056011afd,2e7868a8-38f5-4ff6-b62f-9a15d1c22d28
"Company law reform","The governments policy on company law reform",60d436b5-7631-11e4-b025-005056011afd,569a9ee5-c195-4b7f-b9dc-edc17a09113f
"Compassionate care in the NHS","The governments policy on compassionate care in the nhs",614af715-7631-11e4-b025-005056011afd,7cd6bf12-bbe9-4118-8523-f927b0442156
"Competition law","The governments policy on competition law",60d8a13e-7631-11e4-b025-005056011afd,569a9ee5-c195-4b7f-b9dc-edc17a09113f|c39170d6-85de-408e-87cf-37d0005bb791
"Conflict in fragile states","The governments policy on conflict in fragile states",60b04923-7631-11e4-b025-005056011afd,db994552-7644-404d-a770-a2fe659c661f|9adfc4ed-9f6c-4976-a6d8-18d34356367c|d994e55c-48c9-4795-b872-58d8ec98af12
"Conservation of historic buildings and monuments","The governments policy on conservation of historic buildings and monuments",615cc92e-7631-11e4-b025-005056011afd,fd62c5a4-714d-47fe-a612-595d1739251c
"Constitutional reform","The governments policy on constitutional reform",614c8dd7-7631-11e4-b025-005056011afd,96ae61d6-c2a1-48cb-8e67-da9d105ae381
"Consumer credit market","The governments policy on consumer credit market",60d7aac2-7631-11e4-b025-005056011afd,1994e0e4-bd19-4966-bbd7-f293d6e90a6b
"Consumer protection","The governments policy on consumer protection",60b4b0d6-7631-11e4-b025-005056011afd,569a9ee5-c195-4b7f-b9dc-edc17a09113f
"Corporate accountability","The governments policy on corporate accountability",608f717b-7631-11e4-b025-005056011afd,569a9ee5-c195-4b7f-b9dc-edc17a09113f|1994e0e4-bd19-4966-bbd7-f293d6e90a6b
"Council Tax reform","The governments policy on council tax reform",60b08aa6-7631-11e4-b025-005056011afd,2e7868a8-38f5-4ff6-b62f-9a15d1c22d28
"Counter-terrorism","The governments policy on counter-terrorism",60b0496e-7631-11e4-b025-005056011afd,96ae61d6-c2a1-48cb-8e67-da9d105ae381|9adfc4ed-9f6c-4976-a6d8-18d34356367c|06056197-bc69-4147-aa28-070bca132178|dcc907d6-433c-42df-9ffb-d9c68be5dc4d
"Crime prevention","The governments policy on crime prevention",61d51887-7631-11e4-b025-005056011afd,06056197-bc69-4147-aa28-070bca132178
"Criminal justice reform","The governments policy on criminal justice reform",619d8880-7631-11e4-b025-005056011afd,dcc907d6-433c-42df-9ffb-d9c68be5dc4d
"Cyber security","The governments policy on cyber security",614c6dd6-7631-11e4-b025-005056011afd,96ae61d6-c2a1-48cb-8e67-da9d105ae381|569a9ee5-c195-4b7f-b9dc-edc17a09113f|9adfc4ed-9f6c-4976-a6d8-18d34356367c|354bc716-9654-4b5e-b24d-172588e24ca3
"Deficit reduction","The governments policy on deficit reduction",61d898a6-7631-11e4-b025-005056011afd,1994e0e4-bd19-4966-bbd7-f293d6e90a6b
"Dementia","The governments policy on dementia",614d8b2d-7631-11e4-b025-005056011afd,7cd6bf12-bbe9-4118-8523-f927b0442156
"Drug misuse and dependency","The governments policy on drug misuse and dependency",617305e7-7631-11e4-b025-005056011afd,7cd6bf12-bbe9-4118-8523-f927b0442156|06056197-bc69-4147-aa28-070bca132178
"Economic development in coastal and seaside areas","The governments policy on economic development in coastal and seaside areas",60b0849f-7631-11e4-b025-005056011afd,2e7868a8-38f5-4ff6-b62f-9a15d1c22d28|5ddb26f6-caad-4b14-97a7-fabcfa25d4bc
"Economic growth in Wales","The governments policy on economic growth in wales",61726723-7631-11e4-b025-005056011afd,4f9fe232-e7a2-48e8-99b1-8f7828680493
"Economic growth in developing countries","The governments policy on economic growth in developing countries",614c94ee-7631-11e4-b025-005056011afd,db994552-7644-404d-a770-a2fe659c661f|1994e0e4-bd19-4966-bbd7-f293d6e90a6b
"Economic growth in rural areas","The governments policy on economic growth in rural areas",616c9297-7631-11e4-b025-005056011afd,de4e9dc6-cca4-43af-a594-682023b84d6c|d3ce4ba7-bc75-46b4-89d9-38cb3240376d
"Education in developing countries","The governments policy on education in developing countries",614c9473-7631-11e4-b025-005056011afd,db994552-7644-404d-a770-a2fe659c661f
"Education of disadvantaged children","The governments policy on education of disadvantaged children",617311a4-7631-11e4-b025-005056011afd,ebd15ade-73b2-4eaf-b1c3-43034a42eb37
"Elite sports performance","The governments policy on elite sports performance",615ca149-7631-11e4-b025-005056011afd,fd62c5a4-714d-47fe-a612-595d1739251c|7d365379-2e0e-4b45-a8e6-3de68d8dbbf0
"Emergency planning","The governments policy on emergency planning",60b08364-7631-11e4-b025-005056011afd,96ae61d6-c2a1-48cb-8e67-da9d105ae381|2e7868a8-38f5-4ff6-b62f-9a15d1c22d28|16628142-57b2-4611-bc03-5912785acee3|4082456a-b07f-4a36-8fc1-f063b8921243
"Employment","The governments policy on employment",614d850c-7631-11e4-b025-005056011afd,b548a09f-8b35-4104-89f4-f1a40bf3136d|1994e0e4-bd19-4966-bbd7-f293d6e90a6b
"End of life care","The governments policy on end of life care",616c10a8-7631-11e4-b025-005056011afd,7cd6bf12-bbe9-4118-8523-f927b0442156
"Energy and climate change: evidence and analysis","The governments policy on energy and climate change: evidence and analysis",612b21db-7631-11e4-b025-005056011afd,d65d4203-01f5-4920-a3b1-f614bfd8e83e|cbc24f1d-6413-40a3-8ff7-fbb5bbbc7889|5da4ab94-39b2-40cf-99ae-1af4f6b4206d
"Energy demand reduction in industry, business and the public sector","The governments policy on energy demand reduction in industry, business and the public sector",60b08b93-7631-11e4-b025-005056011afd,de4e9dc6-cca4-43af-a594-682023b84d6c|d65d4203-01f5-4920-a3b1-f614bfd8e83e|cbc24f1d-6413-40a3-8ff7-fbb5bbbc7889|16628142-57b2-4611-bc03-5912785acee3
"Energy efficiency in buildings","The governments policy on energy efficiency in buildings",60b087ae-7631-11e4-b025-005056011afd,2e7868a8-38f5-4ff6-b62f-9a15d1c22d28
"Energy industry and infrastructure licensing and regulation","The governments policy on energy industry and infrastructure licensing and regulation",60b08c2f-7631-11e4-b025-005056011afd,d65d4203-01f5-4920-a3b1-f614bfd8e83e|844d0880-14b1-4de1-bfb6-f233f3d5ae1d|ffc70f77-4ee8-4a6b-a5f2-54657ee4f4c6|16628142-57b2-4611-bc03-5912785acee3|5416838d-cdd3-4172-94db-caafd966fdf3
"Environmental quality","The governments policy on environmental quality",616c88f5-7631-11e4-b025-005056011afd,de4e9dc6-cca4-43af-a594-682023b84d6c
"European funds","The governments policy on european funds",615ce4b3-7631-11e4-b025-005056011afd,569a9ee5-c195-4b7f-b9dc-edc17a09113f|2e7868a8-38f5-4ff6-b62f-9a15d1c22d28|de4e9dc6-cca4-43af-a594-682023b84d6c|b548a09f-8b35-4104-89f4-f1a40bf3136d|1994e0e4-bd19-4966-bbd7-f293d6e90a6b
"European single market","The governments policy on european single market",60b04cb8-7631-11e4-b025-005056011afd,569a9ee5-c195-4b7f-b9dc-edc17a09113f|9adfc4ed-9f6c-4976-a6d8-18d34356367c|1994e0e4-bd19-4966-bbd7-f293d6e90a6b
"Export controls","The governments policy on export controls",60ee818a-7631-11e4-b025-005056011afd,569a9ee5-c195-4b7f-b9dc-edc17a09113f|db994552-7644-404d-a770-a2fe659c661f|d65d4203-01f5-4920-a3b1-f614bfd8e83e|9adfc4ed-9f6c-4976-a6d8-18d34356367c|d994e55c-48c9-4795-b872-58d8ec98af12
"Exports and inward investment","The governments policy on exports and inward investment",60b04deb-7631-11e4-b025-005056011afd,569a9ee5-c195-4b7f-b9dc-edc17a09113f|9adfc4ed-9f6c-4976-a6d8-18d34356367c|b045c8df-d3c4-4219-88d8-264dc9ee5cc8|c4e41647-ad69-4e96-843b-05fa7867bbc0
"Falkland Islanders' right to self-determination","The governments policy on falkland islanders' right to self-determination",60b048d5-7631-11e4-b025-005056011afd,9adfc4ed-9f6c-4976-a6d8-18d34356367c|d994e55c-48c9-4795-b872-58d8ec98af12
"Family justice system","The governments policy on family justice system",619d87a2-7631-11e4-b025-005056011afd,ebd15ade-73b2-4eaf-b1c3-43034a42eb37|dcc907d6-433c-42df-9ffb-d9c68be5dc4d
"Farming industry regulation","The governments policy on farming industry regulation",616c8681-7631-11e4-b025-005056011afd,de4e9dc6-cca4-43af-a594-682023b84d6c
"Financial services regulation","The governments policy on financial services regulation",61d22a15-7631-11e4-b025-005056011afd,1994e0e4-bd19-4966-bbd7-f293d6e90a6b
"Fire prevention and rescue","The governments policy on fire prevention and rescue",60b083b5-7631-11e4-b025-005056011afd,2e7868a8-38f5-4ff6-b62f-9a15d1c22d28|4082456a-b07f-4a36-8fc1-f063b8921243
"Flooding and coastal change","The governments policy on flooding and coastal change",616c9358-7631-11e4-b025-005056011afd,de4e9dc6-cca4-43af-a594-682023b84d6c|16628142-57b2-4611-bc03-5912785acee3
"Food and farming industry","The governments policy on food and farming industry",61728341-7631-11e4-b025-005056011afd,de4e9dc6-cca4-43af-a594-682023b84d6c|e8fae147-6232-4163-a3f1-1c15b755a8a4|d3ce4ba7-bc75-46b4-89d9-38cb3240376d
"Forests and woodland","The governments policy on forests and woodland",616c8766-7631-11e4-b025-005056011afd,de4e9dc6-cca4-43af-a594-682023b84d6c
"Free trade","The governments policy on free trade",60d8ccec-7631-11e4-b025-005056011afd,569a9ee5-c195-4b7f-b9dc-edc17a09113f|db994552-7644-404d-a770-a2fe659c661f
"Freight","The governments policy on freight",60b07c1d-7631-11e4-b025-005056011afd,4c717efc-f47b-478e-a76d-ce1ae0af1946|d39237a5-678b-4bb5-a372-eb2cb036933d
"Freshwater fisheries","The governments policy on freshwater fisheries",616c90b4-7631-11e4-b025-005056011afd,de4e9dc6-cca4-43af-a594-682023b84d6c|16628142-57b2-4611-bc03-5912785acee3
"Further education and training","The governments policy on further education and training",60b31408-7631-11e4-b025-005056011afd,569a9ee5-c195-4b7f-b9dc-edc17a09113f|ebd15ade-73b2-4eaf-b1c3-43034a42eb37
"Gambling regulation","The governments policy on gambling regulation",615cc97b-7631-11e4-b025-005056011afd,fd62c5a4-714d-47fe-a612-595d1739251c
"Governance in developing countries","The governments policy on governance in developing countries",614c9657-7631-11e4-b025-005056011afd,db994552-7644-404d-a770-a2fe659c661f
"Government buying","The governments policy on government buying",614c8b2b-7631-11e4-b025-005056011afd,96ae61d6-c2a1-48cb-8e67-da9d105ae381|ec61fac5-95e9-46bb-8429-7129aab6d96d|8437e374-dfa7-4b52-bd88-ebc29032a9e4
"Government spending","The governments policy on government spending",61ebe8de-7631-11e4-b025-005056011afd,1994e0e4-bd19-4966-bbd7-f293d6e90a6b
"Government transparency and accountability","The governments policy on government transparency and accountability",614893da-7631-11e4-b025-005056011afd,96ae61d6-c2a1-48cb-8e67-da9d105ae381
"Greenhouse gas emissions","The governments policy on greenhouse gas emissions",60d65808-7631-11e4-b025-005056011afd,de4e9dc6-cca4-43af-a594-682023b84d6c|d65d4203-01f5-4920-a3b1-f614bfd8e83e|cbc24f1d-6413-40a3-8ff7-fbb5bbbc7889|16628142-57b2-4611-bc03-5912785acee3
"HS2: high speed rail","The governments policy on hs2: high speed rail",60b07831-7631-11e4-b025-005056011afd,4c717efc-f47b-478e-a76d-ce1ae0af1946|b80fab8b-6ed4-426a-bb8d-f4b614437671
"Harmful drinking","The governments policy on harmful drinking",6173080d-7631-11e4-b025-005056011afd,7cd6bf12-bbe9-4118-8523-f927b0442156
"Health and safety reform","The governments policy on health and safety reform",6157ead3-7631-11e4-b025-005056011afd,b548a09f-8b35-4104-89f4-f1a40bf3136d
"Health and social care integration","The governments policy on health and social care integration",616e8fb4-7631-11e4-b025-005056011afd,7cd6bf12-bbe9-4118-8523-f927b0442156
"Health emergency planning","The governments policy on health emergency planning",61722706-7631-11e4-b025-005056011afd,96ae61d6-c2a1-48cb-8e67-da9d105ae381|7cd6bf12-bbe9-4118-8523-f927b0442156
"Health in developing countries","The governments policy on health in developing countries",614c9567-7631-11e4-b025-005056011afd,db994552-7644-404d-a770-a2fe659c661f
"High streets and town centres","The governments policy on high streets and town centres",60b084f7-7631-11e4-b025-005056011afd,2e7868a8-38f5-4ff6-b62f-9a15d1c22d28
"Higher education participation","The governments policy on higher education participation",60b07965-7631-11e4-b025-005056011afd,569a9ee5-c195-4b7f-b9dc-edc17a09113f
"Homebuying","The governments policy on homebuying",60b08147-7631-11e4-b025-005056011afd,2e7868a8-38f5-4ff6-b62f-9a15d1c22d28|1994e0e4-bd19-4966-bbd7-f293d6e90a6b|5ddb26f6-caad-4b14-97a7-fabcfa25d4bc
"House building","The governments policy on house building",60b081e1-7631-11e4-b025-005056011afd,2e7868a8-38f5-4ff6-b62f-9a15d1c22d28|5ddb26f6-caad-4b14-97a7-fabcfa25d4bc
"Household energy","The governments policy on household energy",60b08be0-7631-11e4-b025-005056011afd,2e7868a8-38f5-4ff6-b62f-9a15d1c22d28|b548a09f-8b35-4104-89f4-f1a40bf3136d|d65d4203-01f5-4920-a3b1-f614bfd8e83e|844d0880-14b1-4de1-bfb6-f233f3d5ae1d
"Housing for older and vulnerable people","The governments policy on housing for older and vulnerable people",60b4b2e8-7631-11e4-b025-005056011afd,2e7868a8-38f5-4ff6-b62f-9a15d1c22d28|5ddb26f6-caad-4b14-97a7-fabcfa25d4bc
"Human rights internationally","The governments policy on human rights internationally",60b0476b-7631-11e4-b025-005056011afd,fd62c5a4-714d-47fe-a612-595d1739251c|9adfc4ed-9f6c-4976-a6d8-18d34356367c|3df55660-43a9-4494-8146-a0a492a975b6
"Humanitarian emergencies","The governments policy on humanitarian emergencies",614c93f8-7631-11e4-b025-005056011afd,db994552-7644-404d-a770-a2fe659c661f
"Hunger and malnutrition in developing countries","The governments policy on hunger and malnutrition in developing countries",614c9748-7631-11e4-b025-005056011afd,db994552-7644-404d-a770-a2fe659c661f
"Immigration and borders","The governments policy on immigration and borders",616c9604-7631-11e4-b025-005056011afd,06056197-bc69-4147-aa28-070bca132178|3808b369-f1d6-44d3-a5b2-a7b7ac931106|04148522-b0c1-4137-b687-5f3c3bdd561a
"Industrial strategy","The governments policy on industrial strategy",6160c0ce-7631-11e4-b025-005056011afd,569a9ee5-c195-4b7f-b9dc-edc17a09113f
"Inspections of schools, colleges and children's services","The governments policy on inspections of schools, colleges and children's services",617312d3-7631-11e4-b025-005056011afd,ebd15ade-73b2-4eaf-b1c3-43034a42eb37
"International defence commitments","The governments policy on international defence commitments",60cf928a-7631-11e4-b025-005056011afd,d994e55c-48c9-4795-b872-58d8ec98af12
"Iran's nuclear programme","The governments policy on iran's nuclear programme",60b04837-7631-11e4-b025-005056011afd,9adfc4ed-9f6c-4976-a6d8-18d34356367c
"Justice system transparency","The governments policy on justice system transparency",619d862a-7631-11e4-b025-005056011afd,dcc907d6-433c-42df-9ffb-d9c68be5dc4d
"Knife, gun and gang crime","The governments policy on knife, gun and gang crime",616c9524-7631-11e4-b025-005056011afd,06056197-bc69-4147-aa28-070bca132178
"Labour market reform","The governments policy on labour market reform",60d4348b-7631-11e4-b025-005056011afd,569a9ee5-c195-4b7f-b9dc-edc17a09113f|6667cce2-e809-4e21-ae09-cb0bdc1ddda3
"Legal aid reform","The governments policy on legal aid reform",619d870b-7631-11e4-b025-005056011afd,dcc907d6-433c-42df-9ffb-d9c68be5dc4d
"Library services","The governments policy on library services",615ccb94-7631-11e4-b025-005056011afd,fd62c5a4-714d-47fe-a612-595d1739251c
"Local Enterprise Partnerships (LEPs) and enterprise zones","The governments policy on local enterprise partnerships (leps) and enterprise zones",60b08451-7631-11e4-b025-005056011afd,569a9ee5-c195-4b7f-b9dc-edc17a09113f|2e7868a8-38f5-4ff6-b62f-9a15d1c22d28|5ddb26f6-caad-4b14-97a7-fabcfa25d4bc
"Local council transparency and accountability","The governments policy on local council transparency and accountability",60b0827b-7631-11e4-b025-005056011afd,2e7868a8-38f5-4ff6-b62f-9a15d1c22d28
"Local government spending","The governments policy on local government spending",60b314f0-7631-11e4-b025-005056011afd,2e7868a8-38f5-4ff6-b62f-9a15d1c22d28
"Local transport","The governments policy on local transport",60b07919-7631-11e4-b025-005056011afd,4c717efc-f47b-478e-a76d-ce1ae0af1946
"Localism","The governments policy on localism",60b0892d-7631-11e4-b025-005056011afd,2e7868a8-38f5-4ff6-b62f-9a15d1c22d28
"Long term health conditions","The governments policy on long term health conditions",6160d80a-7631-11e4-b025-005056011afd,7cd6bf12-bbe9-4118-8523-f927b0442156
"Looked-after children and adoption","The governments policy on looked-after children and adoption",61731597-7631-11e4-b025-005056011afd,ebd15ade-73b2-4eaf-b1c3-43034a42eb37
"Low carbon technologies","The governments policy on low carbon technologies",60b08af8-7631-11e4-b025-005056011afd,d65d4203-01f5-4920-a3b1-f614bfd8e83e|16628142-57b2-4611-bc03-5912785acee3
"Major project management","The governments policy on major project management",614c8c11-7631-11e4-b025-005056011afd,96ae61d6-c2a1-48cb-8e67-da9d105ae381|1994e0e4-bd19-4966-bbd7-f293d6e90a6b|ec61fac5-95e9-46bb-8429-7129aab6d96d
"Management of the European Regional Development Fund","The governments policy on management of the european regional development fund",60b08401-7631-11e4-b025-005056011afd,2e7868a8-38f5-4ff6-b62f-9a15d1c22d28
"Marine environment","The governments policy on marine environment",616c8c68-7631-11e4-b025-005056011afd,de4e9dc6-cca4-43af-a594-682023b84d6c|8d56bb52-2f79-4b6d-9fc6-6d7dcc4f7586|d3ce4ba7-bc75-46b4-89d9-38cb3240376d
"Marine fisheries","The governments policy on marine fisheries",616c8bef-7631-11e4-b025-005056011afd,de4e9dc6-cca4-43af-a594-682023b84d6c|fd6cee28-ac4c-4fb5-9f46-54d24a500818|8d56bb52-2f79-4b6d-9fc6-6d7dcc4f7586
"Maritime sector","The governments policy on maritime sector",60b07cb6-7631-11e4-b025-005056011afd,4c717efc-f47b-478e-a76d-ce1ae0af1946|23a24aa8-1711-42b6-bf6b-47af0f230295
"Media and creative industries","The governments policy on media and creative industries",615cc71b-7631-11e4-b025-005056011afd,fd62c5a4-714d-47fe-a612-595d1739251c
"Mental health service reform","The governments policy on mental health service reform",616d78c0-7631-11e4-b025-005056011afd,7cd6bf12-bbe9-4118-8523-f927b0442156
"Museums and gallery","The governments policy on museums and gallery",615cc7b4-7631-11e4-b025-005056011afd,fd62c5a4-714d-47fe-a612-595d1739251c
"NHS efficiency","The governments policy on nhs efficiency",6172258a-7631-11e4-b025-005056011afd,7cd6bf12-bbe9-4118-8523-f927b0442156
"National Lottery funding","The governments policy on national lottery funding",615cca15-7631-11e4-b025-005056011afd,fd62c5a4-714d-47fe-a612-595d1739251c
"National events and ceremonies","The governments policy on national events and ceremonies",615ccbe1-7631-11e4-b025-005056011afd,fd62c5a4-714d-47fe-a612-595d1739251c
"Northern Ireland community relations","The governments policy on northern ireland community relations",617264fd-7631-11e4-b025-005056011afd,234148b2-66d6-457c-9d06-2bf2b98533ca
"Northern Ireland economy","The governments policy on northern ireland economy",617263f5-7631-11e4-b025-005056011afd,234148b2-66d6-457c-9d06-2bf2b98533ca
"Northern Ireland political stability","The governments policy on northern ireland political stability",617265c9-7631-11e4-b025-005056011afd,234148b2-66d6-457c-9d06-2bf2b98533ca
"Northern Ireland security","The governments policy on northern ireland security",61901e6a-7631-11e4-b025-005056011afd,234148b2-66d6-457c-9d06-2bf2b98533ca
